packageA,packageB,CODE-DEPENDENCY,CO-DEPENDENCY,CATEGORY
org.odpi.openmetadata.repositoryservices.ffdc.exception,org.odpi.openmetadata.repositoryservices.localrepository.repositorycontentmanager,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.accessservices.datamanager.fvt.events,org.odpi.openmetadata.fvt.utilities.exceptions,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.adminservices.server,org.odpi.openmetadata.tokencontroller,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.archiveutilities.designmodels.base,org.odpi.openmetadata.repositoryservices.archiveutilities,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.frameworks.openmetadata.converters,org.odpi.openmetadata.frameworks.openmetadata.properties.surveyreports,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.properties.instances,org.odpi.openmetadata.repositoryservices.rest.properties,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.commonservices.multitenant,org.odpi.openmetadata.viewservices.actormanager.server,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.frameworks.openmetadata.search,org.odpi.openmetadata.frameworkservices.omf.rest,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.commonservices.ffdc.rest,org.odpi.openmetadata.viewservices.glossarymanager.server,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.adapters.connectors.secretsstore.yaml,org.odpi.openmetadata.frameworks.connectors.properties.users,HIGH,LOW,CAN BE INCONSISTENT
