source_package,target_package,WDS,DD,NWDS,FINAL_SCORE
org.odpi.openmetadata.adminservices.server,org.odpi.openmetadata.adminservices.configuration.registration,636,5,636.0,1139.559022429043
org.odpi.openmetadata.repositoryservices.rest.server.spring,org.odpi.openmetadata.repositoryservices.rest.server,708,4,708.0,1139.482042003343
org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.properties.instances,584,6,584.0,1136.411527048303
org.odpi.openmetadata.adapters.repositoryservices.postgres.repositoryconnector.mappers,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.properties.instances,545,7,545.0,1133.2956402155105
org.odpi.openmetadata.repositoryservices.events,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.properties.instances,582,6,582.0,1132.5197067501922
org.odpi.openmetadata.repositoryservices.localrepository.repositorycontentmanager,org.odpi.openmetadata.repositoryservices.ffdc.exception,703,4,703.0,1131.4348524411726
org.odpi.openmetadata.accessservices.datamanager.fvt.events,org.odpi.openmetadata.fvt.utilities.exceptions,703,4,703.0,1131.4348524411726
org.odpi.openmetadata.adminservices.server,org.odpi.openmetadata.tokencontroller,702,4,702.0,1129.8254145287383
org.odpi.openmetadata.archiveutilities.designmodels.base,org.odpi.openmetadata.repositoryservices.archiveutilities,630,5,630.0,1128.8084656136746
org.odpi.openmetadata.frameworks.openmetadata.converters,org.odpi.openmetadata.frameworks.openmetadata.properties.surveyreports,687,4,687.0,1105.683845842227
org.odpi.openmetadata.repositoryservices.rest.properties,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.properties.instances,527,7,527.0,1095.8656924652735
org.odpi.openmetadata.viewservices.actormanager.server,org.odpi.openmetadata.commonservices.multitenant,559,6,559.0,1087.76377332192
org.odpi.openmetadata.frameworkservices.omf.rest,org.odpi.openmetadata.frameworks.openmetadata.search,519,7,519.0,1079.2301601318347
org.odpi.openmetadata.viewservices.glossarymanager.server,org.odpi.openmetadata.commonservices.ffdc.rest,552,6,552.0,1074.142402278533
org.odpi.openmetadata.frameworks.openmetadata.search,org.odpi.openmetadata.frameworks.openmetadata.metadataelements,549,6,549.0,1068.304671831367
org.odpi.openmetadata.adapters.connectors.secretsstore.yaml,org.odpi.openmetadata.frameworks.connectors.properties.users,548,6,548.0,1066.3587616823118
org.odpi.openmetadata.repositoryservices.rest.server,org.odpi.openmetadata.repositoryservices.rest.services,547,6,547.0,1064.4128515332563
org.odpi.openmetadata.viewservices.glossarymanager.server,org.odpi.openmetadata.commonservices.ffdc,657,4,657.0,1057.400708469204
org.odpi.openmetadata.commonservices.ffdc,org.odpi.openmetadata.frameworks.openmetadata.ffdc,478,8,478.0,1050.273347966713
org.odpi.openmetadata.samples.archiveutilities.sustainability,org.odpi.openmetadata.samples.archiveutilities.organization,502,7,502.0,1043.8796539232776
org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.repositoryconnector,582,5,582.0,1042.804011090728
org.odpi.openmetadata.adapters.connectors.integration.openlineage,org.odpi.openmetadata.frameworks.integration.openlineage,501,7,501.0,1041.8002123815977
org.odpi.openmetadata.frameworks.openmetadata.converters,org.odpi.openmetadata.frameworks.openmetadata.properties.actors,581,5,581.0,1041.0122516215
org.odpi.openmetadata.frameworks.connectors,org.odpi.openmetadata.frameworks.connectors.properties.beans,452,9,452.0,1040.7684620333087
org.odpi.openmetadata.viewservices.datadiscovery.server,org.odpi.openmetadata.commonservices.ffdc.rest,577,5,577.0,1033.8452137445877
org.odpi.openmetadata.adapters.repositoryservices.postgres.repositoryconnector,org.odpi.openmetadata.repositoryservices.ffdc.exception,641,4,641.0,1031.6497018702582
org.odpi.openmetadata.repositoryservices.enterprise.repositoryconnector.accumulators,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.properties.instances,493,7,493.0,1025.164680048159
org.odpi.openmetadata.viewservices.governanceofficer.server,org.odpi.openmetadata.commonservices.ffdc.rest,572,5,572.0,1024.8864163984474
org.odpi.openmetadata.frameworks.openmetadata.mermaid,org.odpi.openmetadata.frameworks.openmetadata.properties,526,6,526.0,1023.5487384030947
org.odpi.openmetadata.viewservices.actormanager.server,org.odpi.openmetadata.frameworks.openmetadata.handlers,566,5,566.0,1014.1358595830791
org.odpi.openmetadata.viewservices.validmetadata.server,org.odpi.openmetadata.commonservices.ffdc,629,4,629.0,1012.3364469210491
org.odpi.openmetadata.adapters.connectors.egeriainfrastructure.platform.catalog,org.odpi.openmetadata.frameworks.openmetadata.metadataelements,561,5,561.0,1005.1770622369388
org.odpi.openmetadata.repositoryservices.clients,org.odpi.openmetadata.frameworks.openmetadata.ffdc,560,5,560.0,1003.3853027677108
org.odpi.openmetadata.adapters.connectors.jacquard,org.odpi.openmetadata.frameworks.openmetadata.properties,512,6,512.0,996.3059963163204
org.odpi.openmetadata.viewservices.governanceofficer.server,org.odpi.openmetadata.commonservices.ffdc,617,4,617.0,993.0231919718399
org.odpi.openmetadata.frameworks.openmetadata.converters,org.odpi.openmetadata.frameworks.openmetadata.properties.schema,617,4,617.0,993.0231919718399
org.odpi.openmetadata.frameworks.openmetadata.converters,org.odpi.openmetadata.frameworks.openmetadata.properties.datadictionaries,609,4,609.0,980.147688672367
org.odpi.openmetadata.platformservices.server,org.odpi.openmetadata.commonservices.ffdc,607,4,607.0,976.9288128474989
org.odpi.openmetadata.repositoryservices.events,org.odpi.openmetadata.repositoryservices.events.beans.v2,499,6,499.0,971.0091643786013
org.odpi.openmetadata.opentypes,org.odpi.openmetadata.repositoryservices.connectors.stores.archivestore.properties,498,6,498.0,969.063254229546
