source_package,target_package,import,contain,parameter,call,return,throw,implement,extend,create,use,cast,impllink,annotation,mixin
org.odpi.openmetadata.frameworks.openmetadata.connectorcontext,org.odpi.openmetadata.frameworks.auditlog,45,2,45,2,0,0,0,0,0,2,0,0,0,0
org.odpi.openmetadata.frameworks.openmetadata.connectorcontext,org.odpi.openmetadata.frameworks.openmetadata.properties,97,8,94,25,30,0,0,0,1,2,5,0,0,0
org.odpi.openmetadata.frameworks.openmetadata.connectorcontext,org.odpi.openmetadata.frameworks.openmetadata.search,17,27,691,108,13,0,0,0,27,7,0,0,0,0
org.odpi.openmetadata.frameworks.openmetadata.connectorcontext,org.odpi.openmetadata.frameworks.openmetadata.reports,1,1,0,155,1,0,0,0,1,1,0,0,0,0
org.odpi.openmetadata.frameworks.openmetadata.connectorcontext,org.odpi.openmetadata.frameworks.openmetadata.handlers,42,42,0,702,0,0,0,0,53,53,0,0,0,0
org.odpi.openmetadata.frameworks.openmetadata.connectorcontext,org.odpi.openmetadata.frameworks.openmetadata.properties.schema,2,0,18,0,0,0,0,0,0,0,0,0,0,0
org.odpi.openmetadata.frameworks.openmetadata.connectorcontext,org.odpi.openmetadata.frameworks.openmetadata.ffdc,126,0,0,2,0,2194,0,0,2,8,0,0,0,0
org.odpi.openmetadata.frameworks.openmetadata.connectorcontext,org.odpi.openmetadata.frameworks.openmetadata.properties.assets.processes.connectors,1,0,2,0,0,0,0,0,0,0,0,0,0,0
org.odpi.openmetadata.frameworks.openmetadata.connectorcontext,org.odpi.openmetadata.frameworks.openmetadata.properties.assets.reports,6,0,4,0,0,0,0,0,0,0,0,0,0,0
org.odpi.openmetadata.frameworks.openmetadata.connectorcontext,org.odpi.openmetadata.frameworks.openmetadata.properties.communities,1,0,2,0,0,0,0,0,0,0,0,0,0,0
org.odpi.openmetadata.frameworks.openmetadata.connectorcontext,org.odpi.openmetadata.frameworks.openmetadata.properties.locations,4,0,5,0,0,0,0,0,0,0,0,0,0,0
org.odpi.openmetadata.frameworks.openmetadata.connectorcontext,org.odpi.openmetadata.frameworks.openmetadata.api,0,0,0,4,0,0,0,0,0,0,0,0,0,0
org.odpi.openmetadata.frameworks.openmetadata.connectorcontext,org.odpi.openmetadata.frameworks.openmetadata.properties.datadictionaries,5,0,13,0,0,0,0,0,0,0,0,0,0,0
org.odpi.openmetadata.frameworks.openmetadata.connectorcontext,org.odpi.openmetadata.frameworks.openmetadata.properties.actors,19,0,26,0,0,0,0,0,0,0,0,0,0,0
